,index,queries,response,date
0,0,"Donald Trump, Joe Biden, Debate, Atlanta, United States presidential debates",5,1900-06-27 21:00:00
1,10,"Uvalde, Indictment, Pete Arredondo, School shooting, Mass shooting",5,1900-06-27 21:00:00
2,14,"Debate, Devon, Cornwall, General election, Liberal Democrats, Candidate, Labour Party",5,1900-06-27 21:00:00
3,18,"Ukraine, Joe Biden, Russia, CNN",5,1900-06-27 21:00:00
4,23,"Michelle Obama, Joe Biden, Hunter Biden, Barack Obama, Kathleen Buhle, Family of Joe Biden, Democratic Party",5,1900-06-27 21:00:00
5,27,"Antony Blinken, United States Secretary of State, Ukraine, Vladimir Putin, Russo-Ukrainian War, Israel, Foreign policy, Hamas, Brookings Institution",5,1900-07-02 17:00:00
6,30,"Jen Psaki, Afghanistan, White House Press Secretary, Joe Biden, Republican Party",5,1900-07-02 17:00:00
7,32,"Rudy Giuliani, Disbarment, Donald Trump, Mayor of New York City",5,1900-07-02 17:00:00
8,38,"Joe Biden, Hunter Biden, The White House, Democratic Party",5,1900-07-02 17:00:00
9,58,"Joe Biden, Extreme weather, Climate change",5,1900-07-02 17:00:00
10,59,"Kamala Harris, Joe Biden",5,1900-07-02 17:00:00
11,62,"NATO summit, Washington",5,1900-07-02 17:00:00
12,9,"Efficient energy use, Efficiency, United States Department of Energy, Joe Biden, Revolving Loan Fund, Grant",5,1900-07-02 03:00:00
13,46,"Supreme Court of the United States, Social media, Joe Biden",5,1900-07-02 03:00:00
14,48,"Supreme Court of the United States, Law, Samuel Alito, Neil Gorsuch, Antonin Scalia",5,1900-07-02 03:00:00
15,67,"Keir Starmer, Rishi Sunak, Labour Party, Conservative Party, Debate",5,1900-07-02 03:00:00
16,71,"Supreme Court of the United States, Utah, Rail transport",5,1900-07-02 03:00:00
17,75,"Donald Trump, The Trump Organization, Saudi Arabia, Oman, Trump Tower, Jeddah, Tourism",5,1900-07-02 03:00:00
18,87,"California, Law, Gavin Newsom",5,1900-07-02 03:00:00
19,5,"Joe Biden, George Stephanopoulos, Democratic Party, Donald Trump, ABC News",5,1900-07-05 22:00:00
20,11,"Israel, Hezbollah, Joe Biden, Lebanon, Benjamin Netanyahu",5,1900-07-05 22:00:00
21,31,"Hunter Biden, Fox News, Joe Biden, Mock trial",5,1900-07-05 22:00:00
22,40,"Joe Biden, Russia, CNN",5,1900-07-05 22:00:00
23,61,Joe Biden,5,1900-07-05 22:00:00
24,64,"Iran, Saeed Jalili, Presidential election, Masoud Pezeshkian",5,1900-07-05 22:00:00
25,69,"Joe Biden, Keir Starmer, Associated Press",5,1900-07-05 22:00:00
26,75,"France, National Rally, Far-right politics, Agriculture, 2024, Jordan Bardella",5,1900-07-05 22:00:00
27,13,"Joe Biden, George Stephanopoulos, Democratic Party, Donald Trump, ABC News",5,1900-07-05 23:00:00
28,27,"Hunter Biden, Fox News, Joe Biden, Mock trial",5,1900-07-05 23:00:00
29,55,"Joe Biden, Russia, CNN",5,1900-07-05 23:00:00
30,65,"Benjamin Netanyahu, Joe Biden, Israel, Prime minister",5,1900-07-05 23:00:00
31,74,Joe Biden,5,1900-07-05 23:00:00
32,75,"Arkansas, Abortion, Ballot",5,1900-07-05 23:00:00
33,29,"Supreme Court of the United States, Social media, Joe Biden",5,1900-07-02 02:00:00
34,36,"Türkiye, Syria, Recep Tayyip Erdoğan, Riot",5,1900-07-02 02:00:00
35,45,"Tesla, Constellation Brands, Stock, Jerome Powell, Federal Reserve System, Earnings",5,1900-07-02 02:00:00
36,52,"Supreme Court of the United States, Regulation",5,1900-07-02 02:00:00
37,55,"California, Law, Gavin Newsom",5,1900-07-02 02:00:00
38,71,"Supreme Court of the United States, Law",5,1900-07-02 02:00:00
39,92,"Supreme Court of the United States, United States Environmental Protection Agency, Air pollution",5,1900-07-02 02:00:00
40,94,"Supreme Court of the United States, Corruption",5,1900-07-02 02:00:00
41,100,"Supreme Court of the United States, Utah, Rail transport",5,1900-07-02 02:00:00
42,19,"Rudy Giuliani, Disbarment, Donald Trump, Mayor of New York City",5,1900-07-02 16:00:00
43,26,"Antony Blinken, United States Secretary of State, Ukraine, Vladimir Putin, Russo-Ukrainian War, Israel, Foreign policy, Hamas, Brookings Institution",5,1900-07-02 16:00:00
44,35,"Kamala Harris, Joe Biden",5,1900-07-02 16:00:00
45,40,"Jen Psaki, Afghanistan, White House Press Secretary, Joe Biden, Republican Party",5,1900-07-02 16:00:00
46,44,"Joe Biden, Hunter Biden, The White House, Family of Joe Biden, Democratic Party",5,1900-07-02 16:00:00
47,63,"Joe Biden, Extreme weather, Climate change",5,1900-07-02 16:00:00
48,1,"Joe Biden, Donald Trump, Debate, President of the United States, United States presidential debates, CNN, Fox News",5,1900-06-27 20:00:00
49,11,"Uvalde, Indictment, School shooting, Pete Arredondo, Mass shooting, Robb Elementary School",5,1900-06-27 20:00:00
50,20,"Debate, Devon, General election, Candidate, Cornwall, Liberal Democrats",5,1900-06-27 20:00:00
51,29,"Greg Abbott, Taiwan, Governor of Texas, Asia",5,1900-07-07 18:00:00
52,31,"Dan Patrick, Acting governor, Greg Abbott, Lieutenant Governor of Texas, Tropical cyclone",5,1900-07-07 18:00:00
53,32,"France, Jewish people, Marine Le Pen, National Rally, Antisemitism, Israel, Far-right politics",5,1900-07-07 18:00:00
54,38,"Bob Menendez, United States Senator",5,1900-07-07 18:00:00
55,55,"Mayor, Fox News, Georgia, Fox & Friends, Arabi",5,1900-07-07 18:00:00
56,59,"Joe Biden, Strike action, Philadelphia, Trade union, Harrisburg, National Education Association",5,1900-07-07 18:00:00
57,75,"Douglas Emhoff, Kamala Harris, Second Lady/Gentleman of the United States, Joe Biden",5,1900-07-07 18:00:00
58,0,"Donald Trump, Joe Biden, United States presidential debates, Debate, Republican Party",5,1900-06-27 22:00:00
59,3,"Donald Trump, Riot, United States Capitol, January 6",5,1900-06-27 22:00:00
60,4,"Planned Parenthood, Joe Biden, Abortion, Democratic Party",5,1900-06-27 22:00:00
61,8,"Debate, Devon, Cornwall, General election, Liberal Democrats, Candidate",5,1900-06-27 22:00:00
62,9,"Donald Trump, Afghanistan, President of the United States, Reuters",5,1900-06-27 22:00:00
63,18,"Iran, Joe Biden, Presidential election, Absentee ballot",5,1900-06-27 22:00:00
64,12,"Supreme Court of the United States, Social media, Joe Biden",5,1900-07-02 00:00:00
65,45,"Supreme Court of the United States, Chevron U.S.A., Inc. v. Natural Resources Defense Council, Inc., Law",5,1900-07-02 00:00:00
66,50,"Supreme Court of the United States, Corruption",5,1900-07-02 00:00:00
67,51,"Supreme Court of the United States, Donald Trump, Riot",5,1900-07-02 00:00:00
68,57,"Bolivia, Coup d'état, Luis Arce",5,1900-07-02 00:00:00
69,60,"Donald Trump, The Trump Organization, Saudi Arabia, Oman, Trump Tower, Jeddah, Tourism",5,1900-07-02 00:00:00
70,74,"Republican Party, Donald Trump",5,1900-07-02 00:00:00
71,79,"Supreme Court of the United States, Lindsey Graham, Democratic Party, United States Senate, Republican Party",5,1900-07-02 00:00:00
72,91,"Francis Scott Key Bridge, The White House, Baltimore, United States Congress, Joe Biden, Disaster",5,1900-07-02 00:00:00
73,3,"Rudy Giuliani, Disbarment, Donald Trump, Mayor of New York City",5,1900-07-02 14:00:00
74,32,"Joe Biden, Extreme weather",5,1900-07-02 14:00:00
75,47,"Leonard Peltier, Parole, Activist, Federal Bureau of Investigation, Native Americans in the United States, American Indian Movement",5,1900-07-02 14:00:00
76,75,"Jill Biden, Joe Biden, First Lady of the United States, Allentown-Bethlehem-Easton Metropolitan Area, Allentown, Lehigh County, Democratic Party",5,1900-07-02 14:00:00
77,103,"Francis Scott Key Bridge, The White House, Baltimore, United States Congress, Joe Biden, Disaster",5,1900-07-02 14:00:00
