queries,response
"Labour Party, Conservative Party, Rishi Sunak, General election, United Kingdom, Keir Starmer",0
"Nationalist Movement Party, Türkiye, Grey Wolves",0
"Tour de France, Remco Evenepoel, Tadej Pogačar, Time trial, Jonas Vingegaard",0
"Sharks, South Padre Island, Texas",0
"Tesla, NASDAQ:TSLA, Stock",0
"Argentina national football team, Ecuador national football team, Lionel Messi, 2024 Copa América, Emiliano Martínez",0
"Stock, Stock market, S&P 500",0
"Chile, Bond, Debt, Social impact bond, Euro, Bond market, Emerging market",0
"UEFA Euro 2024, Spain national football team, Germany, Spain",0
"Tropical cyclone, Cancún, Mexico, Sea turtles",0
"Coco Gauff, Andy Murray, Tennis, Wimbledon, Maria Sharapova",0
"Scuderia Ferrari, Formula 1, Carlos Sainz Jr., Charles Leclerc, Silverstone Circuit, Frédéric Vasseur, British Grand Prix",0
"Oil refinery, Scotland, Scottish National Party",0
