,raw-group,summarized-query
0,"Republican Party, John McGuire, Donald Trump, Virginia's 5th Congressional District, Primary election, Virginia",McGuire Trump Virginia Primary
1,"Thomas Massie, Rhonda Massie, Republican Party, Member of Congress, Kentucky",Massie Rhonda Kentucky Congress
2,"Supreme Court of the United States, Chevron U.S.A., Inc. v. Natural Resources Defense Council, Inc., Law",SCOTUS Chevron NRDC Case
3,"Steve Bannon, Supreme Court of the United States, Donald Trump, Contempt of Congress",Bannon Supreme Court Contempt
4,"Jill Biden, Joe Biden, Abortion, First Lady of the United States",Biden Abortion First Lady
5,"Supreme Court of the United States, Social media, Joe Biden",US Supreme Court Social Media Biden
6,"Virginia, Virginia House of Delegates, Repeal, Tuition payments, ex-serviceman",Virginia House Repeal Tuition Ex-Serviceman
7,"Iran, Presidential election, Ebrahim Raisi",Iran Raisi Election
8,"Hunter Biden, Admission to practice law, Joe Biden, Law, New trial",Biden Law Admission Trial
9,"Francis Scott Key Bridge, Baltimore, The White House, Disaster, United States Congress, Joe Biden",Key Bridge White House Disaster
10,"Lloyd Austin, Derek H. Chollet, Antony Blinken, United States Department of Defense, The Pentagon, Joe Biden, Chief of staff",Austin Blinken Pentagon Biden
11,"Israel, United Nations Security Council, Gaza Strip, Gaza, Palestinians, Palestine",Israel UN Gaza Palestinians
